"Anon"	"id"	"school"	"date.x"	"profile"	"trials_completed"	"trials_attempted"	"pc"	"rt_corr"	"rt_incorr"	"pc_1"	"pc_2"	"rt_1"	"rt_2"	"propLeft"	"bias"	"N_easy"	"N_mod"	"N_diff"	"pc_easy"	"pc_mod"	"pc_diff"	"rt_easy"	"rt_mod"	"rt_diff"	"N_noun"	"N_adj"	"N_verb"	"pc_noun"	"pc_adj"	"pc_verb"	"rt_noun"	"rt_adj"	"rt_verb"	"Date"	"Remove"	"Comments"	"check"	"uuid"	"subject_id"	"session_started_at"	"config_profile"	"thisdir"	"thisf"	"date.y"	"DOB"	"edMom"	"edPar"	"lang"	"age"	"ed"
"D23"	"697FCD95A2B543DF9C74BCF7E09EBE52"	"dumeril"	"2016-03-23"	"Test_mix1_beg"	32	32	0.78125	1653	3169	0.8125	0.75	2189	1654	0.5	0	12	8	12	0.916666666666667	0.625	0.75	1488	1655	1592	19	7	6	0.842105263157895	0.714285714285714	0.666666666666667	1622.5	1488	2869.5	"23/03/2016"	"no"	""	""	"697FCD95A2B543DF9C74BCF7E09EBE52"	23	"2016-03-23T09:17:10.000Z"	"Test_mix1_beg"	"dumeril"	"app_session_707.csv"	"23/03/2016"	"19/08/2013"	8	7.5	"monolingual"	2.5927446954141	"higher"
"D24"	"4C0DF5A626FA42A9BFAF26B6CF663125"	"dumeril"	"2016-04-14"	"Test_mix1_beg"	7	7	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	"14/04/2016"	"no"	""	""	"4C0DF5A626FA42A9BFAF26B6CF663125"	118	"2016-04-14T08:12:54.000Z"	"Test_mix1_beg"	"dumeril"	"app_session_820.csv"	"14/04/2016"	"12/01/2013"	5	6.5	"monolingual"	3.25256673511294	"lower"
"D4"	"410A82C51E644B658800F418626D50E9"	"dumeril"	"2016-04-14"	"Test_mix1_beg"	41	41	0.975609756097561	2148	NA	0.952380952380952	1	2218	2071.5	0.48780487804878	0	14	14	13	1	0.928571428571429	1	2015	2140	2187	22	8	11	1	0.875	1	1826	2211	2449	"14/04/2016"	"no"	""	""	"410A82C51E644B658800F418626D50E9"	119	"2016-04-14T08:21:39.000Z"	"Test_mix1_beg"	"dumeril"	"app_session_821.csv"	"14/04/2016"	"02/02/2013"	7	7	"bilingual"	3.19507186858316	"lower"
"D7"	"22677C0688BA4808835AF58CD484CA39"	"dumeril"	"2016-03-23"	"Test_mix1_beg"	34	31	0.548387096774194	3034	2186.5	0.5	0.6	2570	3019	0.483870967741935	0	11	9	11	0.545454545454545	0.666666666666667	0.454545454545455	3578	3033	3019	19	5	7	0.473684210526316	0.6	0.714285714285714	3019	3342	3691	"23/03/2016"	"no"	""	""	"22677C0688BA4808835AF58CD484CA39"	7	"2016-03-23T08:59:55.000Z"	"Test_mix1_beg"	"dumeril"	"app_session_706.csv"	"23/03/2016"	"15/07/2013"	5	NA	NA	2.68856947296372	"lower"
"J11"	"B75F9399AEF54C009F821D4655CE0FD4"	"fautrier"	"2016-04-05"	"Test_mix2_beg"	41	40	0.9	1668	2149	0.85	0.95	1876.5	1732	0.425	0	14	14	12	1	0.857142857142857	0.833333333333333	1651	1668	1694	21	7	12	1	0.714285714285714	0.833333333333333	1363	1749	2494	"05/04/2016"	"no"	""	""	"B75F9399AEF54C009F821D4655CE0FD4"	201	"2016-04-05T06:59:58.000Z"	"Test_mix2_beg"	"fautrier"	"201_app_session_B75F9399AEF54C009F821D4655CE0FD4.csv"	"05/04/2016"	"20/01/2013"	3	2.5	"monolingual"	3.20602327173169	"lower"
"J13"	"0FEB560F4B184E628AE32D867855CC75"	"fautrier"	"2016-04-12"	"Test_mix1_beg"	41	41	0.51219512195122	1783	2185	0.571428571428571	0.45	1867	1940	0.365853658536585	1	14	14	13	0.642857142857143	0.5	0.384615384615385	1965	891	1783	22	8	11	0.545454545454545	0.5	0.454545454545455	1825	2622.5	891	"12/04/2016"	"no"	""	""	"0FEB560F4B184E628AE32D867855CC75"	113	"2016-04-12T07:47:54.000Z"	"Test_mix1_beg"	"fautrier"	"app_session_801.csv"	"12/04/2016"	"19/11/2013"	3	3	"monolingual"	2.39561943874059	"lower"
"J14"	"BED2E8D1B7474A81B50C5601B0DD7A8F"	"fautrier"	"2016-04-05"	"Test_mix2_beg"	33	23	0.695652173913043	2365	3438	0.75	0.636363636363636	2321	3123	0.434782608695652	0	8	7	8	0.75	0.571428571428571	0.75	2340.5	2365	2616	16	4	3	0.75	0.5	NA	2365	2025.5	NA	"05/04/2016"	"no"	""	""	"BED2E8D1B7474A81B50C5601B0DD7A8F"	14	"2016-04-05T07:49:21.000Z"	"Test_mix2_beg"	"fautrier"	"14_app_session_BED2E8D1B7474A81B50C5601B0DD7A8F.csv"	"05/04/2016"	"03/08/2013"	8	8	"monolingual"	2.67214236824093	"higher"
"J16"	"FC85261ECCD8427B8FC5B7B528C7B78B"	"fautrier"	"2016-04-05"	"Test_mix2_beg"	24	23	0.652173913043478	1790	2072.5	0.583333333333333	0.727272727272727	1991.5	1806	0.304347826086957	1	9	5	9	0.444444444444444	1	0.666666666666667	1741.5	1807	1819	15	4	4	0.8	0.5	0.25	1788	2883	2838	"05/04/2016"	"no"	""	""	"FC85261ECCD8427B8FC5B7B528C7B78B"	204	"2016-04-05T08:41:57.000Z"	"Test_mix2_beg"	"fautrier"	"204_app_session_FC85261ECCD8427B8FC5B7B528C7B78B.csv"	"05/04/2016"	"06/05/2013"	8	9.5	"bilingual"	2.91581108829569	"higher"
"J17"	"511CE3AF5780497583C8FD2A89A62AEB"	"fautrier"	"2016-04-05"	"Test_mix2_beg"	27	27	0.888888888888889	3304	NA	0.857142857142857	0.923076923076923	3627	2765	0.407407407407407	0	10	6	11	0.9	1	0.818181818181818	2396	3080.5	3681	17	4	6	1	0.5	0.833333333333333	2670	3564.5	3727	"05/04/2016"	"no"	""	""	"511CE3AF5780497583C8FD2A89A62AEB"	17	"2016-04-05T07:20:28.000Z"	"Test_mix2_beg"	"fautrier"	"17_app_session_511CE3AF5780497583C8FD2A89A62AEB.csv"	"05/04/2016"	"15/03/2013"	8	8	"multilingual"	3.05817932922656	"higher"
"J18"	"E3281D4DCF324FCE897E1480F2219F2A"	"fautrier"	"2016-04-05"	"Test_mix2_beg"	36	34	0.558823529411765	2110	1658	0.470588235294118	0.647058823529412	2005	2056	0.5	0	12	10	12	0.583333333333333	0.5	0.583333333333333	2005	2056	2164	19	6	9	0.631578947368421	0.5	0.444444444444444	2030.5	2397	2431.5	"05/04/2016"	"no"	""	""	"E3281D4DCF324FCE897E1480F2219F2A"	202	"2016-04-05T08:06:11.000Z"	"Test_mix2_beg"	"fautrier"	"202_app_session_E3281D4DCF324FCE897E1480F2219F2A.csv"	"05/04/2016"	"07/03/2013"	3	4.5	"multilingual"	3.08008213552361	"lower"
"J19"	"60D28127B3094354B8321E3241724F35"	"fautrier"	"2016-04-12"	"Test_mix2_beg"	41	41	0.951219512195122	1745	NA	1	0.9	1814	1588	0.48780487804878	0	14	14	13	0.928571428571429	1	0.923076923076923	1644	1646	1820.5	22	7	12	0.954545454545455	0.857142857142857	1	1454	1986	2515.5	"12/04/2016"	"no"	""	""	"60D28127B3094354B8321E3241724F35"	210	"2016-04-12T07:27:31.000Z"	"Test_mix2_beg"	"fautrier"	"app_session_803.csv"	"12/04/2016"	"28/02/2013"	8	8	"monolingual"	3.11841204654346	"higher"
"J2"	"98BC8B8C72214D1DAED95CE29E6D22C3"	"fautrier"	"2016-04-05"	"Test_mix1_beg"	36	36	0.805555555555556	1204	1290	0.722222222222222	0.888888888888889	1436	1059	0.666666666666667	1	13	11	12	0.923076923076923	0.909090909090909	0.583333333333333	1440	1237.5	1067	20	7	9	0.9	0.571428571428571	0.777777777777778	915.5	2376.5	2318	"05/04/2016"	"no"	""	""	"98BC8B8C72214D1DAED95CE29E6D22C3"	102	"2016-04-05T07:18:17.000Z"	"Test_mix1_beg"	"fautrier"	"102_app_session_98BC8B8C72214D1DAED95CE29E6D22C3.csv"	"05/04/2016"	"10/04/2013"	NA	NA	NA	2.98699520876112	NA
"J20"	"893CDF2DADE84F929C2DCFF53CE1523C"	"fautrier"	"2016-04-05"	"Test_mix1_beg"	38	35	0.885714285714286	2717	4923.5	0.944444444444444	0.823529411764706	2835.5	2770	0.571428571428571	0	14	10	11	0.928571428571429	0.9	0.818181818181818	2267	3138	2674	19	6	10	0.947368421052632	0.833333333333333	0.8	2218	3599	3338	"05/04/2016"	"no"	""	""	"893CDF2DADE84F929C2DCFF53CE1523C"	20	"2016-04-05T07:43:52.000Z"	"Test_mix1_beg"	"fautrier"	"20_app_session_893CDF2DADE84F929C2DCFF53CE1523C.csv"	"05/04/2016"	"28/04/2013"	9	10	"monolingual"	2.93771389459274	"higher"
"J21"	"B05643BF6B6841058073612CF4C3EBAC"	"fautrier"	"2016-04-12"	"Test_mix2_beg"	41	41	0.975609756097561	1726	NA	0.952380952380952	1	1700	1812	0.463414634146341	0	14	14	13	1	1	0.923076923076923	1716	1689.5	1764.5	22	7	12	0.954545454545455	1	1	1502	2130	2316	"12/04/2016"	"no"	""	""	"B05643BF6B6841058073612CF4C3EBAC"	212	"2016-04-12T07:58:18.000Z"	"Test_mix2_beg"	"fautrier"	"app_session_807.csv"	"12/04/2016"	"02/01/2013"	7	7.5	"monolingual"	3.27446954140999	"lower"
"J22"	"2FCFC9E3BF284DEE9A1FF6E6F3146A1C"	"fautrier"	"2016-04-12"	"Test_mix1_beg"	41	40	0.9	2590.5	3138	0.95	0.85	2590.5	2637.5	0.4	0	13	14	13	0.923076923076923	0.857142857142857	0.923076923076923	2326.5	3020	2771.5	22	8	10	0.909090909090909	0.875	0.9	2551	2721	2626	"12/04/2016"	"no"	""	""	"2FCFC9E3BF284DEE9A1FF6E6F3146A1C"	112	"2016-04-12T07:29:33.000Z"	"Test_mix1_beg"	"fautrier"	"app_session_800.csv"	"12/04/2016"	"26/03/2013"	8	8	"bilingual"	3.04722792607803	"higher"
"J23"	"727D0E681EA341C59E9C99BAED2D2802"	"fautrier"	"2016-04-15"	"Test_mix1_beg"	41	37	0.918918918918919	2700.5	NA	0.947368421052632	0.888888888888889	2224	2734	0.540540540540541	0	13	13	11	1	0.923076923076923	0.818181818181818	2755	2456	2625	21	6	10	1	0.666666666666667	0.9	1934	2852	3812	"15/04/2016"	"no"	""	""	"727D0E681EA341C59E9C99BAED2D2802"	217	"2016-04-15T07:35:00.000Z"	"Test_mix1_beg"	"fautrier"	"app_session_832.csv"	"15/04/2016"	"22/10/2013"	7	7.5	"monolingual"	2.48049281314168	"lower"
"J24"	"FC8CEEF2DD8E4280BFDAAF71D0F38BE7"	"fautrier"	"2016-04-05"	"Test_mix1_beg"	41	41	0.902439024390244	2121	3016.5	0.857142857142857	0.95	2205	1886	0.463414634146341	0	14	14	13	0.928571428571429	0.928571428571429	0.846153846153846	2121	1862	2178	22	8	11	0.909090909090909	0.875	0.909090909090909	1844	2121	2329	"05/04/2016"	"no"	""	""	"FC8CEEF2DD8E4280BFDAAF71D0F38BE7"	104	"2016-04-05T08:04:44.000Z"	"Test_mix1_beg"	"fautrier"	"104_app_session_FC8CEEF2DD8E4280BFDAAF71D0F38BE7.csv"	"05/04/2016"	"07/04/2013"	8	8	"monolingual"	2.99520876112252	"higher"
"J3"	"953860E3A330422593763027863067BA"	"fautrier"	"2016-04-05"	"Test_mix1_beg"	41	41	0.560975609756098	2100	2619	0.523809523809524	0.6	2513	2327.5	0.609756097560976	1	14	14	13	0.642857142857143	0.5	0.538461538461538	1920	2239	2100	22	8	11	0.590909090909091	0.25	0.727272727272727	1920	2689.5	2969	"05/04/2016"	"no"	""	""	"953860E3A330422593763027863067BA"	101	"2016-04-05T06:59:37.000Z"	"Test_mix1_beg"	"fautrier"	"101_app_session_953860E3A330422593763027863067BA.csv"	"05/04/2016"	"13/08/2013"	8	8	"bilingual"	2.64476386036961	"higher"
"J4"	"134FA33F7A6E4F16837963EF1BA4CA66"	"fautrier"	"2016-04-05"	"Test_mix2_beg"	41	38	0.842105263157895	2066.5	2078	0.789473684210526	0.894736842105263	2148	1925	0.342105263157895	1	12	14	12	0.75	0.928571428571429	0.833333333333333	2076	2063	2057	21	5	12	0.952380952380952	0.4	0.833333333333333	1782.5	2407.5	2488.5	"05/04/2016"	"no"	""	""	"134FA33F7A6E4F16837963EF1BA4CA66"	203	"2016-04-05T08:23:36.000Z"	"Test_mix2_beg"	"fautrier"	"203_app_session_134FA33F7A6E4F16837963EF1BA4CA66.csv"	"05/04/2016"	"30/07/2013"	8	8.5	"monolingual"	2.68309377138946	"higher"
"J5"	"18F719E1B7454C3E824D16E1F129BCFA"	"fautrier"	"2016-04-05"	"Test_mix2_beg"	41	40	0.85	1607.5	3504	0.85	0.85	1894.5	1608	0.425	0	14	13	13	0.928571428571429	0.769230769230769	0.846153846153846	1779	1450.5	1893	22	7	11	0.909090909090909	0.714285714285714	0.818181818181818	1458.5	2757	2045	"05/04/2016"	"no"	""	""	"18F719E1B7454C3E824D16E1F129BCFA"	5	"2016-04-05T07:36:37.000Z"	"Test_mix2_beg"	"fautrier"	"5_app_session_18F719E1B7454C3E824D16E1F129BCFA.csv"	"05/04/2016"	"23/01/2013"	6	6	"multilingual"	3.19780971937029	"lower"
"J6"	"7DB4CCB6BE49415C83CE0EBFCDC0C866"	"fautrier"	"2016-04-12"	"Test_mix2_beg"	41	40	0.85	1946	1609.5	0.85	0.85	2024	1707.5	0.475	0	14	14	12	0.928571428571429	0.857142857142857	0.75	2015	1710	2250	21	7	12	0.857142857142857	0.857142857142857	0.833333333333333	1603.5	1946	2526	"12/04/2016"	"no"	""	""	"7DB4CCB6BE49415C83CE0EBFCDC0C866"	211	"2016-04-12T07:43:23.000Z"	"Test_mix2_beg"	"fautrier"	"app_session_805.csv"	"12/04/2016"	"30/03/2013"	8	7	"bilingual"	3.0362765229295	"higher"
"J7"	"72321C90E39E4934820AD7F9524AB934"	"fautrier"	"2016-04-05"	"Test_mix1_beg"	41	37	1	2581	NA	1	1	2432	2603.5	0.513513513513513	0	11	13	13	1	1	1	2428	2287	3105	21	6	10	1	1	1	2246	2609	3074	"05/04/2016"	"no"	""	""	"72321C90E39E4934820AD7F9524AB934"	105	"2016-04-05T08:22:20.000Z"	"Test_mix1_beg"	"fautrier"	"105_app_session_72321C90E39E4934820AD7F9524AB934.csv"	"05/04/2016"	"13/03/2013"	7	7	"monolingual"	3.06365503080082	"lower"
"J9"	"2EAEE5BFC200421E84EACAEBCD5FEE74"	"fautrier"	"2016-04-05"	"Test_mix1_beg"	41	41	0.75609756097561	1574	1815	0.714285714285714	0.8	1723	1584	0.365853658536585	1	14	14	13	0.714285714285714	0.714285714285714	0.846153846153846	1563	1678.5	1545	22	8	11	0.863636363636364	0.375	0.818181818181818	1468	1545	1728	"05/04/2016"	"no"	""	""	"2EAEE5BFC200421E84EACAEBCD5FEE74"	106	"2016-04-05T08:39:04.000Z"	"Test_mix1_beg"	"fautrier"	"106_app_session_2EAEE5BFC200421E84EACAEBCD5FEE74.csv"	"05/04/2016"	"13/05/2013"	NA	NA	NA	2.89664613278576	NA
"M10"	"594DA4CA8CF34A8C869C92FDD0C5A2A5"	"massena"	"2016-04-06"	"Test_mix2_beg"	15	15	0.6	2006	1812	0.5	0.714285714285714	1812	1915	0.2	1	6	2	7	0.5	NA	0.571428571428571	NA	NA	1803.5	9	2	4	0.777777777777778	NA	0.25	2046	NA	1561	"06/04/2016"	"no"	""	""	"594DA4CA8CF34A8C869C92FDD0C5A2A5"	207	"2016-04-06T08:43:06.000Z"	"Test_mix2_beg"	"massena"	"app_session_786.csv"	"06/04/2016"	"17/02/2013"	NA	NA	NA	3.13210130047912	NA
"M13"	"EB075AA6BE4748D89A7A3A054A15E242"	"massena"	"2016-04-06"	"Test_mix1_beg"	24	22	0.181818181818182	2366	2291	0.0909090909090909	0.272727272727273	2189	2634	0.409090909090909	0	9	5	8	0.111111111111111	0.2	0.25	NA	NA	NA	14	5	3	0.0714285714285714	0.2	NA	2091	2641	NA	"06/04/2016"	"no"	""	""	"EB075AA6BE4748D89A7A3A054A15E242"	108	"2016-04-06T08:13:23.000Z"	"Test_mix1_beg"	"massena"	"app_session_792.csv"	"06/04/2016"	"23/02/2014"	NA	NA	NA	2.11635865845311	NA
"M14"	"18F6CA41FB004DC6AC8021638A1A7731"	"massena"	"2016-04-06"	"Test_mix1_beg"	41	38	0.447368421052632	2583	2627	0.473684210526316	0.421052631578947	2583	2921	0.605263157894737	1	13	13	12	0.461538461538462	0.538461538461538	0.333333333333333	2820.5	4091	2410.5	20	8	10	0.55	0.25	0.4	2583	3821.5	3032	"06/04/2016"	"no"	""	""	"18F6CA41FB004DC6AC8021638A1A7731"	109	"2016-04-06T08:34:26.000Z"	"Test_mix1_beg"	"massena"	"app_session_793.csv"	"06/04/2016"	"03/02/2014"	3	3	"bilingual"	2.17111567419576	"lower"
"M15"	"2EC281142BFA43739FE25377574763E9"	"massena"	"2016-04-15"	"Test_mix1_beg"	14	13	0.384615384615385	1811	2024	0.571428571428571	0.166666666666667	2152	1799	0.230769230769231	1	6	2	5	0.5	NA	0.4	NA	NA	NA	8	2	3	0.375	NA	NA	1376	NA	NA	"15/04/2016"	"no"	""	""	"2EC281142BFA43739FE25377574763E9"	188	"2016-04-15T08:38:25.000Z"	"Test_mix1_beg"	"massena"	"app_session_837.csv"	"15/04/2016"	"27/04/2014"	6	6	"multilingual"	1.96851471594798	"lower"
"M17"	"C79030F7FBF143168C83AABC4F463FAB"	"massena"	"2016-04-13"	"Test_mix1_beg"	35	35	0.885714285714286	1533	1866	0.888888888888889	0.882352941176471	1662.5	1511	0.571428571428571	0	13	10	12	0.923076923076923	1	0.75	1526	1373.5	1732	20	7	8	0.95	0.714285714285714	0.875	1461	1710	1923	"13/04/2016"	"no"	""	""	"C79030F7FBF143168C83AABC4F463FAB"	115	"2016-04-13T08:20:32.000Z"	"Test_mix1_beg"	"massena"	"app_session_814.csv"	"13/04/2016"	"07/03/2013"	NA	NA	NA	3.10198494182067	NA
"M18"	"CE04FE12957D482E8AE7F40E0A82C3BA"	"massena"	"2016-04-06"	"Test_mix1_beg"	20	19	0.736842105263158	2396.5	1657	0.9	0.555555555555556	2093.5	2265	0.789473684210526	1	8	4	7	0.75	0.75	0.714285714285714	1879	NA	2528	13	3	3	0.769230769230769	NA	NA	2371	NA	NA	"06/04/2016"	"no"	""	""	"CE04FE12957D482E8AE7F40E0A82C3BA"	111	"2016-04-06T09:13:54.000Z"	"Test_mix1_beg"	"massena"	"app_session_795.csv"	"06/04/2016"	"28/11/2013"	8	8	"bilingual"	2.35455167693361	"higher"
"M20"	"ACAC570ED10F46E2894BCE21C76B765E"	"massena"	"2016-04-06"	"Test_mix2_beg"	41	40	0.75	2268.5	3035.5	0.7	0.8	2170.5	2578	0.425	0	14	14	12	0.785714285714286	0.642857142857143	0.833333333333333	1985	1962	3019	22	7	11	0.954545454545455	0.428571428571429	0.545454545454545	1962	2905	3442.5	"06/04/2016"	"no"	""	""	"ACAC570ED10F46E2894BCE21C76B765E"	206	"2016-04-06T08:24:32.000Z"	"Test_mix2_beg"	"massena"	"app_session_784.csv"	"06/04/2016"	"25/03/2013"	5	4	"multilingual"	3.03353867214237	"lower"
"M21"	"3401B0C894F54D9E8488A377C0149527"	"massena"	"2016-04-06"	"Test_mix2_beg"	41	38	0.894736842105263	2152.5	2367.5	1	0.789473684210526	2211	2195	0.447368421052632	0	13	13	12	1	0.923076923076923	0.75	2039	2123	2276	20	7	11	1	0.714285714285714	0.818181818181818	1732.5	2314	2446	"06/04/2016"	"no"	""	""	"3401B0C894F54D9E8488A377C0149527"	205	"2016-04-06T08:10:53.000Z"	"Test_mix2_beg"	"massena"	"app_session_783.csv"	"06/04/2016"	"25/09/2013"	NA	NA	NA	2.52977412731006	NA
"M23"	"ACE0A563BA7B4A47B827CFC08ABD664E"	"massena"	"2016-04-06"	"Test_mix1_beg"	41	40	0.975	2361	NA	1	0.95	2435	2147	0.55	0	14	14	12	0.928571428571429	1	1	2504	2278.5	2566	22	8	10	1	0.875	1	2025.5	2361	2888	"06/04/2016"	"no"	""	""	"ACE0A563BA7B4A47B827CFC08ABD664E"	107	"2016-04-06T07:54:48.000Z"	"Test_mix1_beg"	"massena"	"app_session_791.csv"	"06/04/2016"	"25/02/2013"	8	8	"monolingual"	3.11019849418207	"higher"
"M24"	"8737E37D512846538D4813CA0F114952"	"massena"	"2016-04-15"	"Test_mix1_beg"	41	38	0.947368421052632	2551	NA	0.894736842105263	1	2475	2631	0.578947368421053	0	13	13	12	1	0.923076923076923	0.916666666666667	2528	2400	2639	20	7	11	1	0.857142857142857	0.909090909090909	2169.5	2814	2609	"15/04/2016"	"no"	""	""	"8737E37D512846538D4813CA0F114952"	218	"2016-04-15T08:13:19.000Z"	"Test_mix1_beg"	"massena"	"app_session_833.csv"	"15/04/2016"	"15/02/2014"	6	7	"bilingual"	2.16290212183436	"lower"
